trade_date,series,open_price,high_price,low_price,prevclose_price,last_price,close_price,vwap,high_52w,low_52w,volume,turnover,number_trades,daily_return,price_change,intraday_volatility,month,year
2023-06-13,EQ,569.05,579.70,567.05,566.85,575.2,576.55,575.05,579.7,344.4,4835369,2780588384.15,47098,1.71,9.7,12.65,Jun,2023
2023-06-12,EQ,571.90,573.70,562.95,569.7,570,566.85,568.89,577.4,344.4,986664,561300023.55,34647,-0.5,-2.85,10.75,Jun,2023
2023-06-09,EQ,559.40,577.40,557.5,557.4,570,569.7,569.41,577.4,344.4,4518069,2572637853.70,71939,2.21,12.3,19.9,Jun,2023
2023-06-08,EQ,559.85,562.10,549.05,559.85,560,557.4,556.95,565,344.4,3580397,1994111239.25,76671,-0.44,-2.45,13.05,Jun,2023
2023-06-07,EQ,526.95,565.00,526.75,523.9,561,559.85,553.34,565,344.4,6091207,3370493983.35,87487,6.86,35.95,38.25,Jun,2023
2023-06-06,EQ,510.00,528.00,508.8,519.05,525.05,523.9,513.94,564.75,344.4,3902253,2005532776.85,34797,0.93,4.85,19.2,Jun,2023
2023-06-05,EQ,533.75,537.40,515,531,519.3,519.05,524.14,564.75,344.4,2212840,1159845290.40,52417,-2.25,-11.95,22.4,Jun,2023
2023-06-02,EQ,532.00,539.00,527.5,532.95,531.3,531,534.43,564.75,344.4,3976828,2125319481.60,39014,-0.37,-1.95,11.5,Jun,2023
2023-06-01,EQ,545.85,547.90,528.1,549.45,529.95,532.95,536.08,564.75,344.4,5171685,2772437931.90,73153,-3,-16.5,19.8,Jun,2023
2023-05-31,EQ,542.00,562.00,522.15,535.75,542,549.45,547.53,564.75,344.4,101078986,55343814120.05,251190,2.56,13.7,39.85,May,2023
2023-05-30,EQ,539.80,546.80,532.55,536.9,534.3,535.75,541.97,564.75,344.4,7783524,4218442385.40,54568,-0.21,-1.15,14.25,May,2023
2023-05-29,EQ,542.40,548.00,534.05,540.2,535.35,536.9,540.22,564.75,344.4,2280303,1231871384.00,42009,-0.61,-3.3,13.95,May,2023
2023-05-26,EQ,540.45,556.95,535,536.7,537.95,540.2,544.81,564.75,344.4,4479668,2440576011.75,92733,0.65,3.5,21.95,May,2023
2023-05-25,EQ,559.90,559.90,528.5,557.75,536,536.7,544.93,564.75,344.4,4286399,2335777995.60,86991,-3.77,-21.05,31.4,May,2023
